Ticket ID,Open Time,Open Price,Close Time,Close Price,Profit,Lots,Commission,Swap,Symbol,Type,SL,TP,Pips,Reason,Volume
127492847,2025.11.06 14:08:27,1.15223,2025-11-06 14:57:55,1.1532,-129.6,1.6,-11.2,0,EURUSD,Sell,1.153,1.1504,-81.000000,3,160
127090182,2025.11.05 15:33:04,1.14825,2025-11-05 15:50:48,1.14759,-132,2,-14,0,EURUSD,Buy,1.1476,1.1495,-66.000000,3,200
127098213,2025.11.05 14:45:15,1.14917,2025-11-05 14:50:31,1.14887,111,3,-21,0,EURUSD,Sell,1.1495,1.1486,37.000000,17,300
126766729,2025.11.04 17:51:55,1.14902,2025-11-04 19:51:10,1.14842,60,1,-7,0,EURUSD,Sell,1.1488,1.1473,60.000000,17,100
126639274,2025.11.04 15:25:21,1.14927,2025-11-04 16:05:17,1.14912,15,1,-7,0,EURUSD,Sell,1.1505,1.1469,15.000000,17,100
126171677,2025.11.03 16:12:05,1.15079,2025-11-03 17:34:04,1.15133,-37.8,0.7,-4.9,0,EURUSD,Sell,1.1513,1.1486,-54.000000,3,70
126122904,2025.11.03 14:47:28,1.15193,2025-11-03 15:08:43,1.15137,-112,2,-14,0,EURUSD,Buy,1.1514,1.154,-56.000000,3,200
125785056,2025.10.31 19:04:43,1.15414,2025-10-31 20:41:38,1.15258,-312,2,-14,0,EURUSD,Buy,1.1522,1.1566,-156.000000,17,200
125254487,2025.10.30 16:01:00,1.15525,2025-10-31 03:52:58,1.1575,450,2,-14,-27,EURUSD,Buy,1.1542,1.1602,225.000000,17,200
124745208,2025.10.29 16:48:00,1.1636,2025-10-29 17:57:34,1.16465,98,1,-7,0,EURUSD,Buy,1.1616,1.1646,98.000000,4,100
124467605,2025.10.29 01:59:02,1.16504,2025-10-29 02:55:44,1.16544,-76,2,-14,0,EURUSD,Sell,1.1654,1.1641,-38.000000,3,200
124314486,2025.10.28 16:43:25,1.16332,2025-10-28 17:03:18,1.16408,152,2,-14,0,EURUSD,Buy,1.163,1.1641,76.000000,4,200
124282001,2025.10.28 16:03:59,1.16346,2025-10-28 16:08:34,1.16301,-138,3,-21,0,EURUSD,Buy,1.163,1.1653,-46.000000,3,300
123843619,2025.10.27 16:58:54,1.16355,2025-10-27 21:48:54,1.16461,-216,2,-14,0,EURUSD,Sell,1.1646,1.1622,-108.000000,3,200
123762172,2025.10.27 14:53:10,1.16445,2025-10-27 15:04:11,1.16509,-120,2,-14,0,EURUSD,Sell,1.1651,1.1624,-60.000000,3,200
123139758,2025.10.24 14:31:50,1.16102,2025-10-24 15:30:14,1.16431,263,1,-7,0,EURUSD,Buy,1.16,1.1637,263.000000,4,100
122746360,2025.10.23 15:18:07,1.15899,2025-10-23 15:40:13,1.15999,200,2,-14,0,EURUSD,Buy,1.1585,1.16,100.000000,4,200
122344948,2025.10.22 16:30:08,1.15924,2025-10-22 17:13:25,1.15942,-19,1,-7,0,EURUSD,Sell,1.1602,1.1569,-19.000000,17,100
121872891,2025.10.21 17:02:17,1.16108,2025-10-21 17:44:34,1.16012,-95,1,-7,0,EURUSD,Buy,1.1601,1.1624,-95.000000,3,100
121755313,2025.10.21 14:45:39,1.16159,2025-10-21 15:10:10,1.16061,-98,1,-7,0,EURUSD,Buy,1.1606,1.1637,-98.000000,3,100
121235288,2025.10.20 15:00:03,1.16582,2025-10-20 15:09:57,1.16551,160,5,-35,0,EURUSD,Sell,1.1668,1.1638,32.000000,17,500
120947171,2025.10.17 20:57:25,1.167,2025-10-20 03:16:25,1.16602,6.86,0.07,-0.49,0,EURUSD,Sell,1.1698,1.1646,98.000000,17,7
120317410,2025.10.16 17:32:20,1.16733,2025-10-16 18:51:29,1.16629,-2.08,0.02,-0.14,0,EURUSD,Buy,1.1663,1.1689,-104.000000,3,2